Velocidade Inicial	Angulo (alpha)	Distancia Horizontal	Velociade Final	Valor de g
9800	2	4005.135237060623	16.964984756599158	14.029566996108935
9800	4	3676.8956752636377	16.964629164352093	14.501255249244782
9800	6	3358.2529002305337	16.965291090237827	14.99807858811101
9800	0	4346.97540120351	16.964982560396496	13.575932598822552
9900	3	3913.7558784737985	16.964742489593245	14.27551513017983
9900	2	4082.992080636742	16.965544643652194	14.041935628601971
9900	4	3748.072125996039	16.965357217865087	14.515896169574727
9900	5	3585.7971053158426	16.965745851917507	14.758504016175547
9900	1	4255.711364202291	16.964702903183646	13.812019423426605
9900	0	4431.831767809506	16.965441765789798	13.587386855511662
10000	3	3988.9851449185194	16.965834525473696	14.289777658129719
10000	2	4161.642459468573	16.965929514009645	14.054062098010272
10000	1	4337.861340205232	16.964837007682853	13.823701577587457
10000	4	3819.966286578856	16.96598329416238	14.528476602403762
10000	5	3654.4317859487883	16.9658821109931	14.772922320440163
10100	3	4064.9727677044984	16.965193341733293	14.301691294263716
10100	1	4420.844112787931	16.964869358742476	13.83516430341694
10100	5	3723.748040047801	16.96601008627651	14.787094974777016
10200	3	4141.721522556735	16.96596645917859	14.313783224424105
10200	5	3793.7475040281247	16.964517055852813	14.800544499194705
10200	4	3965.9178145430988	16.965260642522793	14.55424485799621
10100	2	4241.089030028319	16.96460809930711	14.065567955298004
10100	4	3892.580670489491	16.964914563492272	14.542158159902826
10200	2	4321.333845301599	16.96475751143443	14.077239831070681
10300	3	4219.233846801759	16.96506178712858	14.326888808628832
10300	2	4402.37847765409	16.964873524827986	14.088701583503697
10300	5	3864.4321421893687	16.96449158492017	14.814220888328666
10300	4	4039.980489420625	16.965457869974447	14.56786586165515
10400	2	4484.223778913165	16.965024198404713	14.099967278409173
10400	3	4297.51120028602	16.965659480601243	14.338525487017415
10400	4	4114.770992769128	16.9655226896392	14.581236736617047
10400	5	3935.8040032838067	16.965908790130012	14.828117751291336
10500	3	4376.555059336714	16.964688120760687	14.349548169551522
